safety_score,violent_safety_score,property_safety_score,walkability_index,jobs_housing_mix_score,employment_mix_score,intersection_density_score,commute_mode_diversity_score,transit_stop_density,has_transit_access,public_transit_commute_rate,no_vehicle_rate,climate_loss_risk_score,social_vulnerability_score,community_resilience_score,heat_risk_score,flood_risk_score,wildfire_risk_score,school_density,school_academic_score,tract_id,tract_name,total_population,tract_type_flag,population_under_5_rate,population_under_18_rate,median_age,hispanic_latino_rate,total_households,households_with_children,avg_household_size,avg_family_size,bachelors_or_higher,median_household_income,poverty_rate,family_poverty_rate,unemployment_rate,drove_alone_rate,work_from_home_rate,renter_rate,median_gross_rent,rent_burden_30_34_count,rent_burden_35_plus_count,vacancy_rate,total_crime_count,violent_crime_count,property_crime_count,crime_rate_per_1000,violent_crime_rate_per_1000,property_crime_rate_per_1000,low_population_flag,transit_stop_count,large_tract_flag,expected_annual_loss_rating_composite,social_vulnerability_rating,community_resilience_rating,heat_wave_hazard_type_risk_index_rating,inland_flooding_hazard_type_risk_index_rating,wildfire_hazard_type_risk_index_rating,school_count,elementary_school_count,middle_school_count,high_school_count,charter_school_count,district_name,district_type,district_grade_low,district_grade_high,district_overlap_pct,academic_strength_tier
31.241473396998632,37.92633015006821,18.826739427012274,14.74056135121709,5.226527570789866,10.763785394932937,17.556631892697467,18.6698956780924,10.115410042484092,1,1.8,3.5,58.0923973037086,27.46016703,5.37732496149745,16.4545497878831,41.3470800185509,38.169645511517,0.0,3.5,06073000100,Census Tract 1; San Diego County; California,2948,residential_or_mixed,5.9,22.3,51.1,9.5,1178,318,2.5,2.89,1758,231667.0,2.2,2.1,0.0,69.8,18.9,9.4,,17,20,8.9,74,2,38,25.101763907734057,0.6784260515603798,12.890094979647218,False,6,0,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,0,0,0,0,0,San Diego Unified,Unified,PK,12,0.9999999999999996,medium_high
27.0668485675307,30.695770804911326,20.32742155525239,18.0,16.0,20.0,17.0,19.0,20.978475605866656,1,0.7,12.5,21.3624726965263,46.12865012,5.37732496149745,12.5780542447209,9.44192738991355,39.6061503335593,0.0,3.5,06073000201,Census Tract 2.01; San Diego County; California,2270,residential_or_mixed,3.5,19.4,51.2,4.0,1180,208,1.92,3.03,1392,124722.0,6.7,6.5,2.3,51.0,34.3,54.7,2407.0,59,233,6.4,60,3,26,26.431718061674008,1.3215859030837005,11.45374449339207,False,7,0,Relatively Low,Relatively Moderate,Very Low,Very Low,Very Low,Very Low,0,0,0,0,0,San Diego Unified,Unified,PK,12,1.0,medium_high
13.335607094133696,13.096862210095496,13.778990450204642,15.5730056980057,9.37948717948718,14.026923076923078,17.648717948717948,17.36709401709402,21.814380037895926,1,4.8,4.4,50.4673884961364,56.8909554,5.37732496149745,33.5108918442252,41.4778875768494,0.0,1.9831434327423625,3.5,06073000202,Census Tract 2.02; San Diego County; California,3755,residential_or_mixed,2.8,7.9,45.8,15.0,2240,185,1.64,2.44,2077,120091.0,2.9,0.9,5.0,58.0,33.2,55.2,1992.0,134,375,9.5,186,16,64,49.53395472703063,4.260985352862849,17.043941411451396,False,11,0,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,No Rating,1,1,0,0,0,San Diego Unified,Unified,PK,12,1.0,medium_high
21.00272851296044,26.875852660300136,10.095497953615284,,,,,,45.12242979461912,1,5.9,6.2,15.7115343965052,9.209856068,5.37732496149745,9.80623480623481,5.85898945215416,0.0,0.0,3.5,06073000301,Census Tract 3.01; San Diego County; California,2311,residential_or_mixed,4.0,8.1,37.3,22.3,1302,131,1.77,2.55,1248,87813.0,15.4,18.1,4.1,56.9,31.0,73.5,1945.0,69,316,11.7,151,4,47,65.33967979229772,1.7308524448290783,20.33751622674167,False,7,0,Very Low,Very Low,Very Low,Very Low,Very Low,No Rating,0,0,0,0,0,San Diego Unified,Unified,PK,12,0.9999999999999996,medium_high
7.175989085948161,8.321964529331517,5.047748976807642,,,,,,52.115091620091285,1,4.2,6.7,40.9693026751533,58.81715335,5.37732496149745,21.2128795462129,16.7623940161488,0.0,0.0,3.5,06073000302,Census Tract 3.02; San Diego County; California,2873,residential_or_mixed,0.0,2.5,45.1,15.7,1818,63,1.48,1.99,1644,89573.0,9.4,0.0,2.3,49.1,27.8,72.4,2412.0,80,664,17.3,271,18,99,94.32648799164636,6.265227984684999,34.45875391576749,False,10,0,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,No Rating,0,0,0,0,0,San Diego Unified,Unified,PK,12,1.0,medium_high
3.4720327421555224,3.137789904502042,4.092769440654842,12.90250329380764,8.0098814229249,5.488142292490118,15.33201581027668,16.626482213438734,26.39566444864193,1,2.1,9.7,65.5976231298588,9.209856068,5.37732496149745,19.3097859764526,12.9344891964848,21.3680092278787,2.199652451660299,3.5,06073000400,Census Tract 4; San Diego County; California,4315,residential_or_mixed,2.9,5.6,33.1,31.5,2588,206,1.62,2.14,2498,100636.0,7.9,0.0,4.4,59.2,17.0,80.3,2455.0,227,843,2.2,657,56,161,152.2595596755504,12.977983777520278,37.3117033603708,False,12,0,Relatively Moderate,Very Low,Very Low,Relatively Low,Very Low,Very Low,1,1,0,0,0,San Diego Unified,Unified,PK,12,1.0,medium_high
17.244201909959074,16.098226466575717,19.37244201909959,13.40381573744563,6.6020166073546855,14.5361803084223,13.7858837485172,15.8564650059312,7.008449431547142,1,2.3,4.7,22.7153157808206,30.09595451,5.37732496149745,17.5616092282759,10.0757494678511,75.8993019633025,0.0,3.5,06073000500,Census Tract 5; San Diego County; California,2983,residential_or_mixed,5.6,12.6,39.5,21.0,1604,266,1.86,2.59,1569,120172.0,5.2,4.1,5.9,56.5,30.9,65.2,2019.0,99,301,9.8,101,10,37,33.85853167951726,3.352329869259135,12.4036205162588,False,3,0,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,0,0,0,0,0,San Diego Unified,Unified,PK,12,1.0000000000000002,medium_high
1.4529331514324677,1.500682128240105,1.3642564802182844,14.275225225225226,10.648108108108108,11.20972972972973,16.125405405405406,15.77135135135135,27.76433425931661,1,0.0,6.9,32.114756793574,42.90410472,5.37732496149745,21.0222126888794,13.720523705897,0.0,5.552902351992972,3.5,06073000600,Census Tract 6; San Diego County; California,3221,residential_or_mixed,2.5,4.8,43.2,13.9,2047,111,1.56,2.32,1848,104078.0,4.0,0.0,2.7,73.9,20.9,62.7,1957.0,107,323,4.8,607,59,253,188.45079167960264,18.317292766221676,78.54703508227259,False,10,0,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Very Low,No Rating,2,1,0,0,0,San Diego Unified,Unified,PK,12,0.9999999999999992,medium_high
17.223738062755796,21.282401091405177,9.6862210095498,15.736133992311917,9.764415156507413,15.367380560131796,17.039538714991764,17.60296540362438,26.56228324214728,1,1.5,10.9,41.8805928083237,48.2372801,5.37732496149745,28.7168120501454,29.1867337352693,0.0,0.0,3.5,06073000700,Census Tract 7; San Diego County; California,4341,residential_or_mixed,5.3,7.1,37.9,24.6,2626,177,1.65,2.51,2348,105633.0,9.1,3.6,3.3,65.6,21.4,72.7,1963.0,184,491,2.8,221,11,93,50.90992858788298,2.533978346003225,21.423635107118177,False,8,0,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,No Rating,0,0,0,0,0,San Diego Unified,Unified,PK,12,1.0000000000000009,medium_high
31.616643929058664,35.19781718963165,24.965893587994547,14.274532410965923,4.006533435818601,11.325518831667948,18.59185242121445,16.565718677940048,16.3435635087336,1,1.3,10.0,44.0319891020974,26.15945033,5.37732496149745,28.7513704180371,35.7401924060267,0.0,0.0,3.5,06073000800,Census Tract 8; San Diego County; California,5283,residential_or_mixed,1.9,8.0,36.2,26.9,2966,287,1.78,2.62,2864,84747.0,6.8,8.0,3.1,64.9,25.3,68.0,1985.0,311,774,3.1,159,5,48,30.096536059057357,0.946431951542684,9.085746734809767,False,4,0,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,No Rating,0,0,0,0,0,San Diego Unified,Unified,PK,12,0.9999999999999998,medium_high
